"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Shangqiu","Shangqiu","34.4259","115.6467","China","CN","CHN","Henan","","7816831","1156805441"
"Cangzhou","Cangzhou","38.3037","116.8452","China","CN","CHN","Hebei","","7544300","1156698069"
"Hong Kong","Hong Kong","22.3000","114.2000","Hong Kong","HK","HKG","","primary","7450000","1344982653"
"Shaoyang","Shaoyang","27.2418","111.4725","China","CN","CHN","Hunan","","7370500","1156310366"
"Zhanjiang","Zhanjiang","21.1967","110.4031","China","CN","CHN","Guangdong","minor","7332000","1156502170"
"Yancheng","Yancheng","33.3936","120.1339","China","CN","CHN","Jiangsu","minor","7260240","1156995410"
"Hengyang","Hengyang","26.8968","112.5857","China","CN","CHN","Hunan","","7243400","1156696884"
"Riyadh","Riyadh","24.6333","46.7167","Saudi Arabia","SA","SAU","Ar Riyāḑ","primary","7237000","1682999334"
"Zhumadian","Zhumadian","32.9773","114.0253","China","CN","CHN","Henan","","7231234","1156184822"
"Santiago","Santiago","-33.4372","-70.6506","Chile","CL","CHL","Región Metropolitana","primary","7171000","1152554349"
"Xingtai","Xingtai","37.0659","114.4753","China","CN","CHN","Hebei","","7111106","1156294952"
"Chattogram","Chattogram","22.3350","91.8325","Bangladesh","BD","BGD","Chattogram","admin","7000000","1050830722"
"Bijie","Bijie","27.3019","105.2863","China","CN","CHN","Guizhou","","6899636","1156018927"
"Shangrao","Shangrao","28.4419","117.9633","China","CN","CHN","Jiangxi","minor","6810700","1156405492"
"Zunyi","Zunyi","27.7050","106.9336","China","CN","CHN","Guizhou","","6606675","1156539782"
"Sūrat","Surat","21.1702","72.8311","India","IN","IND","Gujarāt","","6538000","1356758738"
"Surabaya","Surabaya","-7.2458","112.7378","Indonesia","ID","IDN","Jawa Timur","admin","6499000","1360484663"
"Huanggang","Huanggang","30.4500","114.8750","China","CN","CHN","Hubei","minor","6333000","1156200037"
"Maoming","Maoming","21.6618","110.9178","China","CN","CHN","Guangdong","minor","6313200","1156568722"
"Nanchong","Nanchong","30.7991","106.0784","China","CN","CHN","Sichuan","minor","6278614","1156762337"
"Xinyang","Xinyang","32.1264","114.0672","China","CN","CHN","Henan","","6234401","1156273453"
"Madrid","Madrid","40.4169","-3.7033","Spain","ES","ESP","Madrid","primary","6211000","1724616994"
"Baghdad","Baghdad","33.3153","44.3661","Iraq","IQ","IRQ","Baghdād","primary","6183000","1368596238"
"Qujing","Qujing","25.5102","103.8029","China","CN","CHN","Yunnan","","6155400","1156747998"
"Jieyang","Jieyang","23.5533","116.3649","China","CN","CHN","Guangdong","minor","6089400","1156260378"
"Singapore","Singapore","1.3000","103.8000","Singapore","SG","SGP","","primary","5983000","1702341327"
"Prayagraj","Prayagraj","25.4358","81.8464","India","IN","IND","Uttar Pradesh","","5954391","1356718332"
"Liaocheng","Liaocheng","36.4500","115.9833","China","CN","CHN","Shandong","minor","5952128","1156006600"
"Dalian","Dalian","38.9000","121.6000","China","CN","CHN","Liaoning","","5871474","1156175472"
"Yulin","Yulin","22.6293","110.1507","China","CN","CHN","Guangxi","minor","5849700","1156901312"
"Changde","Changde","29.0397","111.6839","China","CN","CHN","Hunan","minor","5827200","1156449091"
"Qingdao","Qingdao","36.1167","120.4000","China","CN","CHN","Shandong","minor","5818255","1156112588"
"Douala","Douala","4.0500","9.7000","Cameroon","CM","CMR","Littoral","admin","5768400","1120494607"
"Miami","Miami","25.7840","-80.2101","United States","US","USA","Florida","","5711945","1840015149"
"Nangandao","Nangandao","35.2992","113.8851","China","CN","CHN","Henan","minor","5708191","1156127660"
"Pudong","Pudong","31.2231","121.5397","China","CN","CHN","Shanghai","minor","5681512","1156644508"
"Xiangyang","Xiangyang","32.0654","112.1531","China","CN","CHN","Hubei","minor","5680000","1156107325"
"Dallas","Dallas","32.7935","-96.7667","United States","US","USA","Texas","","5668165","1840019440"
"Houston","Houston","29.7860","-95.3885","United States","US","USA","Texas","","5650910","1840020925"
"Zhengzhou","Zhengzhou","34.7492","113.6605","China","CN","CHN","Henan","admin","5621593","1156183137"
